Country,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
African Region (WHO),134.59569000000002,891.3643643333332,442.3475533333333,147.36764333333335,22.327531466666667
Albania,136.2694396666667,804.2807163333333,331.75096033333335,123.3249492,21.689925566666663
Algeria,182.70352600000004,380.9482723333332,358.0439353333333,117.60762866666666,24.43697596666666
American Samoa,160.20912266666667,737.7178853333334,449.03317300000003,163.918777,41.51908136666667
Andorra,196.88869666666662,391.6779426666666,378.2522876666666,59.81679653333333,27.91504233333333
Angola,183.917692,622.8639496666667,518.8230619999999,200.85317700000002,106.23615386666663
Antigua and Barbuda,136.083169,1066.0699333333334,376.60070833333333,118.35640350000003,24.329927166666668
Argentina,184.09731000000002,503.7599836666666,411.05670399999997,205.45534933333332,54.86335023333335
Armenia,199.68592566666663,449.7850329999999,481.7225563333333,219.35701233333336,65.76479073333333
Australia,179.17662000000004,468.8405176666667,301.2410133333332,117.49331860000001,22.630681466666662
Austria,247.28358966666664,837.6890206666666,526.2652986666667,241.05036433333328,188.67198833333336
Azerbaijan,175.27794366666663,558.8302766666667,560.2082676666666,193.54197866666664,108.53102559999998
Bahamas,178.6230343333333,434.1242966666667,242.903705,113.59480369999999,25.203854300000007
Bahrain,183.07913666666664,517.5800606666667,408.9959619999999,195.21975299999997,62.37953460000001
Bangladesh,173.73812633333333,895.6254903333331,474.487752,168.46895733333332,58.14206650000001
Barbados,177.8694176666667,822.9433326666666,294.5788373333333,83.68396469999999,20.204142333333337
Belarus,182.18980133333335,537.1761583333332,409.4980589999999,203.10151966666672,50.81026430000001
Belgium,174.66703433333336,699.8451103333334,335.5851466666667,112.55410913333331,24.391730400000004
Belize,174.08601033333335,595.3780646666667,477.9789573333333,192.78409466666668,86.0128189
Benin,173.1516226666667,575.2250260000001,391.2830856666667,196.86349199999998,39.23841663333334
Bermuda,135.699826,762.623689,303.4921983333333,117.53138236666665,19.83415196666667
Bhutan,195.10180400000002,590.4801423333334,410.4117843333334,213.2929956666667,72.86510903333334
