,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Afghanistan,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
1,African Region (WHO),21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
2,Albania,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
3,Algeria,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
4,American Samoa,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
5,Andorra,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
6,Angola,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
7,Antigua and Barbuda,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
8,Argentina,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
9,Armenia,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127,21.011127
